Feedback ID,Tenant ID,Survey Response,Comments
3778,9611,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3696,9946,Satisfied,I'm satisfied with the service. It's been a good experience.
3054,4904,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3156,1694,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3238,2522,Neutral,My experience has been neutral. Nothing outstanding to mention.
3342,7610,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3797,3242,Satisfied,I'm satisfied with the service. It's been a good experience.
3391,2460,Neutral,My experience has been neutral. Nothing outstanding to mention.
3082,2697,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3096,4105,Neutral,My experience has been neutral. Nothing outstanding to mention.
3074,1946,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3952,7157,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3056,1762,Satisfied,I'm satisfied with the service. It's been a good experience.
3963,1052,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3249,9564,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3199,9154,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3474,8446,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3395,7449,Satisfied,I'm satisfied with the service. It's been a good experience.
3593,8910,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3431,8711,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3130,9636,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3894,9760,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3892,8588,Neutral,My experience has been neutral. Nothing outstanding to mention.
3214,5514,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3112,5520,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3089,6236,Satisfied,I'm satisfied with the service. It's been a good experience.
3171,8228,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3059,9255,Neutral,My experience has been neutral. Nothing outstanding to mention.
3167,6343,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3675,1316,Satisfied,I'm satisfied with the service. It's been a good experience.
3728,3416,Neutral,My experience has been neutral. Nothing outstanding to mention.
3013,9050,Satisfied,I'm satisfied with the service. It's been a good experience.
3495,8409,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3595,8201,Neutral,My experience has been neutral. Nothing outstanding to mention.
3118,6452,Satisfied,I'm satisfied with the service. It's been a good experience.
3180,6549,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3331,2265,Satisfied,I'm satisfied with the service. It's been a good experience.
3208,5213,Neutral,My experience has been neutral. Nothing outstanding to mention.
3076,9673,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3980,1175,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3917,7694,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3160,6991,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3662,2684,Neutral,My experience has been neutral. Nothing outstanding to mention.
3508,5312,Neutral,My experience has been neutral. Nothing outstanding to mention.
3475,3054,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3817,7446,Satisfied,I'm satisfied with the service. It's been a good experience.
3572,7919,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3992,9734,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3722,6159,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3359,3772,Satisfied,I'm satisfied with the service. It's been a good experience.
3134,2002,Satisfied,I'm satisfied with the service. It's been a good experience.
3825,4804,Neutral,My experience has been neutral. Nothing outstanding to mention.
3035,2809,Satisfied,I'm satisfied with the service. It's been a good experience.
3708,3253,Satisfied,I'm satisfied with the service. It's been a good experience.
3793,8521,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3364,3796,Neutral,My experience has been neutral. Nothing outstanding to mention.
3743,9548,Neutral,My experience has been neutral. Nothing outstanding to mention.
3453,8181,Neutral,My experience has been neutral. Nothing outstanding to mention.
3187,2348,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3000,3866,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3165,3722,Satisfied,I'm satisfied with the service. It's been a good experience.
3657,2746,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3262,2086,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3788,3640,Neutral,My experience has been neutral. Nothing outstanding to mention.
3686,6129,Satisfied,I'm satisfied with the service. It's been a good experience.
3879,8741,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3060,5322,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3850,3048,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3350,2685,Satisfied,I'm satisfied with the service. It's been a good experience.
3837,8322,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3565,7164,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3744,5757,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3101,5761,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3259,9392,Satisfied,I'm satisfied with the service. It's been a good experience.
3953,4447,Satisfied,I'm satisfied with the service. It's been a good experience.
3687,2548,Satisfied,I'm satisfied with the service. It's been a good experience.
3849,1077,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3914,2008,Neutral,My experience has been neutral. Nothing outstanding to mention.
3666,4564,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3624,1422,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3220,3163,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3323,9218,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3674,4840,Satisfied,I'm satisfied with the service. It's been a good experience.
3902,2583,Neutral,My experience has been neutral. Nothing outstanding to mention.
3844,6659,Satisfied,I'm satisfied with the service. It's been a good experience.
3217,1847,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3029,3097,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3032,7913,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3009,3324,Satisfied,I'm satisfied with the service. It's been a good experience.
3813,7739,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3981,9726,Satisfied,I'm satisfied with the service. It's been a good experience.
3999,4748,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3972,3601,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3174,3488,Neutral,My experience has been neutral. Nothing outstanding to mention.
3226,4658,Neutral,My experience has been neutral. Nothing outstanding to mention.
3393,2690,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3573,3631,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3072,3811,Neutral,My experience has been neutral. Nothing outstanding to mention.
3011,5490,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3413,4352,Satisfied,I'm satisfied with the service. It's been a good experience.
3772,6489,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3824,7189,Satisfied,I'm satisfied with the service. It's been a good experience.
3558,7167,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3970,2387,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3884,6007,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3183,6259,Satisfied,I'm satisfied with the service. It's been a good experience.
3545,3230,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3664,7698,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3197,2133,Neutral,My experience has been neutral. Nothing outstanding to mention.
3615,7960,Satisfied,I'm satisfied with the service. It's been a good experience.
3090,3807,Satisfied,I'm satisfied with the service. It's been a good experience.
3913,9459,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3958,1989,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3951,3853,Satisfied,I'm satisfied with the service. It's been a good experience.
3888,1652,Satisfied,I'm satisfied with the service. It's been a good experience.
3780,2336,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3303,2808,Satisfied,I'm satisfied with the service. It's been a good experience.
3296,3333,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3460,6809,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3878,8169,Neutral,My experience has been neutral. Nothing outstanding to mention.
3862,6771,Satisfied,I'm satisfied with the service. It's been a good experience.
3480,6884,Satisfied,I'm satisfied with the service. It's been a good experience.
3911,2524,Satisfied,I'm satisfied with the service. It's been a good experience.
3362,9826,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3907,7023,Neutral,My experience has been neutral. Nothing outstanding to mention.
3776,3196,Neutral,My experience has been neutral. Nothing outstanding to mention.
3532,9102,Satisfied,I'm satisfied with the service. It's been a good experience.
3261,5050,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3087,3211,Neutral,My experience has been neutral. Nothing outstanding to mention.
3114,7056,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3380,7740,Neutral,My experience has been neutral. Nothing outstanding to mention.
3723,5465,Neutral,My experience has been neutral. Nothing outstanding to mention.
3553,5733,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3749,7946,Satisfied,I'm satisfied with the service. It's been a good experience.
3001,5059,Satisfied,I'm satisfied with the service. It's been a good experience.
3467,2295,Neutral,My experience has been neutral. Nothing outstanding to mention.
3789,8686,Neutral,My experience has been neutral. Nothing outstanding to mention.
3080,2864,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3084,3987,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3211,6245,Neutral,My experience has been neutral. Nothing outstanding to mention.
3256,6949,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3374,5049,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3935,1068,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3926,4594,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3905,1084,Neutral,My experience has been neutral. Nothing outstanding to mention.
3677,5434,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3426,6488,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3978,1666,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3416,5228,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3461,5088,Neutral,My experience has been neutral. Nothing outstanding to mention.
3906,1430,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3642,5839,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3240,2181,Neutral,My experience has been neutral. Nothing outstanding to mention.
3041,9518,Satisfied,I'm satisfied with the service. It's been a good experience.
3634,8162,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3518,6051,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3019,5175,Neutral,My experience has been neutral. Nothing outstanding to mention.
3514,6759,Satisfied,I'm satisfied with the service. It's been a good experience.
3325,3395,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3783,6044,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3316,3530,Neutral,My experience has been neutral. Nothing outstanding to mention.
3676,5853,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3264,2936,Neutral,My experience has been neutral. Nothing outstanding to mention.
3266,4775,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3292,7678,Satisfied,I'm satisfied with the service. It's been a good experience.
3537,9605,Neutral,My experience has been neutral. Nothing outstanding to mention.
3966,6644,Neutral,My experience has been neutral. Nothing outstanding to mention.
3585,6787,Neutral,My experience has been neutral. Nothing outstanding to mention.
3877,8864,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3131,6377,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3716,3115,Neutral,My experience has been neutral. Nothing outstanding to mention.
3733,3930,Neutral,My experience has been neutral. Nothing outstanding to mention.
3488,3265,Neutral,My experience has been neutral. Nothing outstanding to mention.
3039,5019,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3872,9914,Satisfied,I'm satisfied with the service. It's been a good experience.
3137,2334,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3702,7927,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3119,1669,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3841,8163,Satisfied,I'm satisfied with the service. It's been a good experience.
3014,8074,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3439,3555,Neutral,My experience has been neutral. Nothing outstanding to mention.
3750,9200,Satisfied,I'm satisfied with the service. It's been a good experience.
3485,5635,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3335,3814,Satisfied,I'm satisfied with the service. It's been a good experience.
3138,7786,Satisfied,I'm satisfied with the service. It's been a good experience.
3382,2438,Neutral,My experience has been neutral. Nothing outstanding to mention.
3988,4348,Neutral,My experience has been neutral. Nothing outstanding to mention.
3396,1607,Neutral,My experience has been neutral. Nothing outstanding to mention.
3470,4031,Satisfied,I'm satisfied with the service. It's been a good experience.
3985,3713,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3692,8070,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3228,1452,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3344,7717,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3411,7893,Neutral,My experience has been neutral. Nothing outstanding to mention.
3192,5686,Satisfied,I'm satisfied with the service. It's been a good experience.
3092,9814,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3501,4693,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3496,2616,Neutral,My experience has been neutral. Nothing outstanding to mention.
3685,3422,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3858,9718,Neutral,My experience has been neutral. Nothing outstanding to mention.
3570,3812,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3161,5172,Neutral,My experience has been neutral. Nothing outstanding to mention.
3541,9095,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3245,1400,Neutral,My experience has been neutral. Nothing outstanding to mention.
3521,4938,Neutral,My experience has been neutral. Nothing outstanding to mention.
3003,3838,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3122,2547,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3477,9277,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3164,3518,Neutral,My experience has been neutral. Nothing outstanding to mention.
3435,3213,Satisfied,I'm satisfied with the service. It's been a good experience.
3298,2386,Satisfied,I'm satisfied with the service. It's been a good experience.
3185,8097,Neutral,My experience has been neutral. Nothing outstanding to mention.
3239,4485,Neutral,My experience has been neutral. Nothing outstanding to mention.
3934,3888,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3312,5768,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3782,1331,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3181,5998,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3829,7980,Satisfied,I'm satisfied with the service. It's been a good experience.
3635,4569,Satisfied,I'm satisfied with the service. It's been a good experience.
3281,8277,Neutral,My experience has been neutral. Nothing outstanding to mention.
3299,1920,Neutral,My experience has been neutral. Nothing outstanding to mention.
3621,5437,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3705,4732,Neutral,My experience has been neutral. Nothing outstanding to mention.
3919,5904,Satisfied,I'm satisfied with the service. It's been a good experience.
3681,7999,Neutral,My experience has been neutral. Nothing outstanding to mention.
3796,3876,Neutral,My experience has been neutral. Nothing outstanding to mention.
3034,2559,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3689,3223,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3418,7591,Satisfied,I'm satisfied with the service. It's been a good experience.
3447,8053,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3581,9816,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3522,2792,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3227,4437,Satisfied,I'm satisfied with the service. It's been a good experience.
3145,8540,Satisfied,I'm satisfied with the service. It's been a good experience.
3097,8104,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3091,2337,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3468,6013,Satisfied,I'm satisfied with the service. It's been a good experience.
3111,2233,Neutral,My experience has been neutral. Nothing outstanding to mention.
3806,7225,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3853,4138,Neutral,My experience has been neutral. Nothing outstanding to mention.
3168,9054,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3942,2610,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3155,5873,Satisfied,I'm satisfied with the service. It's been a good experience.
3224,6569,Satisfied,I'm satisfied with the service. It's been a good experience.
3371,7057,Neutral,My experience has been neutral. Nothing outstanding to mention.
3762,4032,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3628,7517,Satisfied,I'm satisfied with the service. It's been a good experience.
3232,6984,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3596,9955,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3088,9361,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3954,1635,Neutral,My experience has been neutral. Nothing outstanding to mention.
3425,1235,Satisfied,I'm satisfied with the service. It's been a good experience.
3721,2171,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3987,8766,Neutral,My experience has been neutral. Nothing outstanding to mention.
3234,5536,Satisfied,I'm satisfied with the service. It's been a good experience.
3656,8803,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3020,4187,Satisfied,I'm satisfied with the service. It's been a good experience.
3221,9114,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3070,2247,Satisfied,I'm satisfied with the service. It's been a good experience.
3636,4029,Satisfied,I'm satisfied with the service. It's been a good experience.
3717,2863,Satisfied,I'm satisfied with the service. It's been a good experience.
3189,3890,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3497,4617,Neutral,My experience has been neutral. Nothing outstanding to mention.
3996,3604,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3875,9171,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3263,2872,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3438,1803,Satisfied,I'm satisfied with the service. It's been a good experience.
3659,2566,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3291,7586,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3846,8586,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3700,2710,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3588,4527,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3040,2031,Satisfied,I'm satisfied with the service. It's been a good experience.
3847,2122,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3427,3374,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3421,9967,Neutral,My experience has been neutral. Nothing outstanding to mention.
3205,5687,Satisfied,I'm satisfied with the service. It's been a good experience.
3283,2993,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3142,3483,Satisfied,I'm satisfied with the service. It's been a good experience.
3293,2453,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3742,4147,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3490,8214,Neutral,My experience has been neutral. Nothing outstanding to mention.
3979,2658,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3667,6998,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3977,8852,Neutral,My experience has been neutral. Nothing outstanding to mention.
3663,5809,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3128,8250,Neutral,My experience has been neutral. Nothing outstanding to mention.
3031,8970,Satisfied,I'm satisfied with the service. It's been a good experience.
3390,6873,Neutral,My experience has been neutral. Nothing outstanding to mention.
3694,7069,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3121,6552,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3314,9155,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3027,1019,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3900,6055,Satisfied,I'm satisfied with the service. It's been a good experience.
3848,8913,Neutral,My experience has been neutral. Nothing outstanding to mention.
3158,6708,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3968,4965,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3962,2329,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3831,4047,Neutral,My experience has been neutral. Nothing outstanding to mention.
3414,2791,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3353,1752,Satisfied,I'm satisfied with the service. It's been a good experience.
3008,4592,Satisfied,I'm satisfied with the service. It's been a good experience.
3655,3855,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3117,4443,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3064,3621,Dissatisfied,I'm dissatisfied with maintenance response times. Needs improvement.
3095,3654,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3940,1272,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3177,8840,Neutral,My experience has been neutral. Nothing outstanding to mention.
3484,2672,Satisfied,I'm satisfied with the service. It's been a good experience.
3288,9360,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3794,4325,Satisfied,I'm satisfied with the service. It's been a good experience.
3731,6622,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3310,7391,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3401,2104,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3339,6068,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3563,7273,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3428,3934,Neutral,My experience has been neutral. Nothing outstanding to mention.
3057,2761,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3345,3285,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3044,4946,Satisfied,I'm satisfied with the service. It's been a good experience.
3012,1372,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3915,4131,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3798,8925,Neutral,My experience has been neutral. Nothing outstanding to mention.
3870,7103,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3306,3258,Satisfied,I'm satisfied with the service. It's been a good experience.
3548,5557,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3754,5275,Neutral,My experience has been neutral. Nothing outstanding to mention.
3244,6842,Neutral,My experience has been neutral. Nothing outstanding to mention.
3399,6520,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3965,2807,Satisfied,I'm satisfied with the service. It's been a good experience.
3093,9473,Very Dissatisfied,I'm very dissatisfied. There are numerous issues with the property.
3487,3572,Very Satisfied,I'm extremely satisfied with my experience here. Everything is perfect!
3213,4795,Satisfied,I'm satisfied with the service. It's been a good experience.
3577,6253,Satisfied,I'm satisfied with the service. It's been a good experience.
3025,3328,Satisfied,I'm satisfied with the service. It's been a good experience.
3176,9427,Satisfied,I'm satisfied with the service. It's been a good experience.
